肖申克的救赎,9.7,1726047人评价,希望让人自由。
霸王别姬,9.6,1276023人评价,风华绝代。
阿甘正传,9.5,1332550人评价,一部美国近现代史。
这个杀手不太冷,9.4,1526395人评价,怪蜀黍和小萝莉不得不说的故事。
美丽人生,9.5,778081人评价,最美的谎言。
泰坦尼克号,9.4,1268791人评价,失去的才是永恒的。 
千与千寻,9.3,1359404人评价,最好的宫崎骏，最好的久石让。 
辛德勒的名单,9.5,685439人评价,拯救一个人，就是拯救整个世界。
盗梦空间,9.3,1299839人评价,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,9.3,880104人评价,永远都不能忘记你所爱的人。
海上钢琴师,9.3,1057004人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
机器人总动员,9.3,859459人评价,小瓦力，大人生。
三傻大闹宝莱坞,9.2,1177064人评价,英俊版憨豆，高情商版谢耳朵。
楚门的世界,9.3,927514人评价,如果再也不能见到你，祝你早安，午安，晚安。
放牛班的春天,9.3,824222人评价,天籁一般的童声，是最接近上帝的存在。 
星际穿越,9.3,944500人评价,爱是一种力量，让我们超越时空感知它的存在。
大话西游之大圣娶亲,9.2,923829人评价,一生所爱。
熔炉,9.3,557598人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
龙猫,9.2,800725人评价,人人心中都有个龙猫，童年就永远不会消失。
无间道,9.2,757840人评价,香港电影史上永不过时的杰作。
教父,9.3,586201人评价,千万不要记恨你的对手，这样会让你失去理智。
疯狂动物城,9.2,1081684人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
当幸福来敲门,9.1,953841人评价,平民励志片。 
怦然心动,9.0,1080776人评价,真正的幸福是来自内心深处。
触不可及,9.2,624852人评价,满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士,9.2,636038人评价,无尽的黑暗。
活着,9.2,491723人评价,张艺谋最好的电影。
控方证人,9.6,229365人评价,比利·怀德满分作品。
乱世佳人,9.3,425140人评价,Tomorrow is another day.
少年派的奇幻漂流,9.0,921926人评价,瑰丽壮观、无人能及的冒险之旅。
摔跤吧！爸爸,9.0,949609人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
指环王3：王者无敌,9.2,467899人评价,史诗的终章。
飞屋环游记,9.0,842951人评价,最后那些最无聊的事情，才是最值得怀念的。 
鬼子来了,9.2,394865人评价,对敌人的仁慈，就是对自己残忍。
十二怒汉,9.4,281735人评价,1957年的理想主义。 
天空之城,9.1,542406人评价,对天空的追逐，永不停止。 
寻梦环游记,9.1,904267人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
末代皇帝,9.2,411296人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
天堂电影院,9.2,440560人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
大话西游之月光宝盒,9.0,746118人评价,旷古烁今。
哈尔的移动城堡,9.0,614939人评价,带着心爱的人在天空飞翔。
罗马假日,9.0,622654人评价,爱情哪怕只有一天。
搏击俱乐部,9.0,578747人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
闻香识女人,9.0,536811人评价,史上最美的探戈。
素媛,9.2,366671人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
辩护人,9.2,374175人评价,电影的现实意义大过电影本身。
何以为家,9.1,456617人评价,凝视卑弱生命，用电影改变命运。
窃听风暴,9.1,365963人评价,别样人生。
死亡诗社,9.1,445471人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
教父2,9.2,320276人评价,优雅的孤独。
两杆大烟枪,9.1,391697人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
指环王2：双塔奇兵,9.1,433011人评价,承前启后的史诗篇章。
飞越疯人院,9.1,395829人评价,自由万岁。
狮子王,9.0,484750人评价,动物版《哈姆雷特》。
指环王1：魔戒再现,9.0,486728人评价,传说的开始。
V字仇杀队,8.9,684702人评价,一张面具背后的理想与革命。
美丽心灵,9.0,478314人评价,爱是一切逻辑和原由。
饮食男女,9.1,346055人评价,人生不能像做菜，把所有的料都准备好了才下锅。
大闹天宫,9.3,218685人评价,经典之作，历久弥新。
哈利·波特与魔法石,8.9,528941人评价,童话世界的开端。
钢琴家,9.1,318946人评价,音乐能化解仇恨。
海豚湾,9.3,261229人评价,海豚的微笑，是世界上最高明的伪装。
本杰明·巴顿奇事,8.9,626243人评价,在时间之河里感受溺水之苦。
黑客帝国,9.0,478339人评价,视觉革命。
情书,8.9,583041人评价,暗恋的极致。
看不见的客人,8.8,706171人评价,你以为你以为的就是你以为的。
让子弹飞,8.8,1021566人评价,你给我翻译翻译，神马叫做TMD的惊喜。
我不是药神,9.0,1305820人评价,对我们国家而言，这样的电影多一部是一部。
西西里的美丽传说,8.9,607028人评价,美丽无罪。
猫鼠游戏,8.9,463281人评价,骗子大师和执著警探的你追我跑故事。 
小鞋子,9.2,242243人评价,奔跑的孩子是天使。
拯救大兵瑞恩,9.0,402838人评价,美利坚精神输出大片No1.
美国往事,9.2,268811人评价,往事如烟，无处祭奠。
音乐之声,9.0,372109人评价,用音乐化解仇恨，让歌声串起美好。
致命魔术,8.8,536038人评价,孪生蝙蝠侠大战克隆金刚狼。
七宗罪,8.8,633246人评价,警察抓小偷，老鼠玩死猫。
低俗小说,8.8,536363人评价,故事的高级讲法。
穿条纹睡衣的男孩,9.1,293163人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
被嫌弃的松子的一生,8.9,480608人评价,以戏谑来戏谑戏谑。
沉默的羔羊,8.8,534230人评价,安东尼·霍普金斯的顶级表演。
蝴蝶效应,8.8,589003人评价,人的命运被自己瞬间的抉择改变。
春光乍泄,8.9,398229人评价,爱情纠缠，男女一致。
心灵捕手,8.9,436792人评价,人生中应该拥有这样的一段豁然开朗。
禁闭岛,8.8,583749人评价,昔日翩翩少年，今日大腹便便。
勇敢的心,8.9,410156人评价,史诗大片的典范。
布达佩斯大饭店,8.8,547228人评价,小清新的故事里注入了大历史的情怀。
剪刀手爱德华,8.7,721502人评价,浪漫忧郁的成人童话。
天使爱美丽,8.7,698088人评价,法式小清新。 
阿凡达,8.7,850125人评价,绝对意义上的美轮美奂。
摩登时代,9.3,167936人评价,大时代中的人生，小人物的悲喜。
加勒比海盗,8.7,561764人评价,约翰尼·德普的独角戏。
致命ID,8.8,489899人评价,最不可能的那个人永远是最可能的。
幽灵公主,8.9,355918人评价,人与自然的战争史诗。
断背山,8.8,482339人评价,每个人心中都有一座断背山。
入殓师,8.8,420470人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
喜剧之王,8.7,568390人评价,我是一个演员。
阳光灿烂的日子,8.8,406325人评价,一场华丽的意淫。
重庆森林,8.7,506782人评价,寂寞没有期限。
狩猎,9.1,213833人评价,人言可畏。
第六感,8.9,348869人评价,深入内心的恐怖，出人意料的结局。
海蒂和爷爷,9.2,179876人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
杀人回忆,8.8,380921人评价,关于连环杀人悬案的集体回忆。
玛丽和马克思,8.9,304684人评价,你是我最好的朋友，你是我唯一的朋友 。
小森林 夏秋篇,9.0,250909人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
消失的爱人,8.7,568128人评价,年度最佳date movie。
请以你的名字呼唤我,8.8,366498人评价,沉醉在电影的情感和视听氛围中无法自拔。
告白,8.7,496970人评价,没有一人完全善，也没有一人完全恶。
一一,9.0,224335人评价,我们都曾经是一一。
大鱼,8.8,373649人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
爱在黎明破晓前,8.8,355732人评价,缘分是个连绵词，最美不过一瞬。
红辣椒,9.0,234840人评价,梦的勾结。
阳光姐妹淘,8.8,406176人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
侧耳倾听,8.9,280055人评价,少女情怀总是诗。
7号房的礼物,8.8,309614人评价,《我是山姆》的《美丽人生》。
射雕英雄传之东成西就,8.7,412633人评价,百看不厌。 
甜蜜蜜,8.8,328438人评价,相逢只要一瞬间，等待却像是一辈子。
超脱,8.9,284150人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与死亡圣器(下),8.8,448255人评价,10年的完美句点。
倩女幽魂,8.7,437539人评价,两张绝世的脸。 
